date,transition,asset,pre_cum_ret,post_cum_ret
2022-03-04,1 -> 0,黄金,0.0354,0.0201
2022-03-04,1 -> 0,白银,0.0429,-0.0021
2022-03-04,1 -> 0,铜,0.0061,0.0215
2022-03-04,1 -> 0,原油,0.2189,0.0914
2022-03-04,1 -> 0,煤炭,0.127,0.1947
2022-08-05,0 -> 1,黄金,-0.0455,-0.055
2022-08-05,0 -> 1,白银,-0.0746,-0.0742
2022-08-05,0 -> 1,铜,-0.1977,-0.0684
2022-08-05,0 -> 1,原油,-0.0818,-0.1703
2022-08-05,0 -> 1,煤炭,-0.2416,-0.0248
2023-09-01,1 -> 0,黄金,0.0052,0.0325
2023-09-01,1 -> 0,白银,0.06,-0.0211
2023-09-01,1 -> 0,铜,0.0004,-0.0564
2023-09-01,1 -> 0,原油,0.1209,0.1127
2023-09-01,1 -> 0,煤炭,0.117,0.1279
2023-12-01,0 -> 1,黄金,0.0833,0.0135
2023-12-01,0 -> 1,白银,0.0859,-0.0719
2023-12-01,0 -> 1,铜,0.0151,-0.0001
2023-12-01,0 -> 1,原油,-0.1376,-0.0322
2023-12-01,0 -> 1,煤炭,0.1317,-0.129
2024-03-01,1 -> 0,黄金,-0.0167,0.178
2024-03-01,1 -> 0,白银,-0.0223,0.2249
2024-03-01,1 -> 0,铜,-0.0058,0.1613
2024-03-01,1 -> 0,原油,0.0632,0.0508
2024-03-01,1 -> 0,煤炭,-0.0644,0.0207
2024-04-12,0 -> 1,黄金,0.1506,-0.0008
2024-04-12,0 -> 1,白银,0.2147,0.1091
2024-04-12,0 -> 1,铜,0.1504,0.0913
2024-04-12,0 -> 1,原油,0.1159,-0.1101
2024-04-12,0 -> 1,煤炭,-0.1572,0.1352
2024-04-26,1 -> 0,黄金,0.178,-0.0304
2024-04-26,1 -> 0,白银,0.2249,0.047
2024-04-26,1 -> 0,铜,0.1613,0.0012
2024-04-26,1 -> 0,原油,0.0508,-0.0529
2024-04-26,1 -> 0,煤炭,0.0207,-0.0802
2024-05-31,0 -> 1,黄金,0.0482,0.0244
2024-05-31,0 -> 1,白银,0.2236,-0.0405
